SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
UUID_960903a0-f79a-4309-8787-874ffb6c6f09;1905;0,354;21,889;ID_263f7664-edb1-49df-8f4c-727ed8392098;495471609;LOD2;1010;384646,0;5820712,4;180;0;238,5;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Daj4rOCbZXC;;0,356;28,889;ID_97a9f52f-09f7-4e8a-9211-877ddf1fd887;145714967;LOD2;1010;385935,8;5820258,5;180;0;86,2;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DkwpILbFBm5;1900;0,386;21,639;ID_6a4578c6-fae8-4470-a062-4b2371d9d5b3;1360596087;LOD2;1010;384999,2;5820799,0;238;10;74,8;30,00;138,7;3;3,10;1033;33;58;139;234;226;236;207;210;152;74;42;26;
DEBE3D04YY50002bqG;2013;1,105;2,796;ID_800884a1-0517-4e92-b66c-e32519b42863;488104778;LOD2;1610;385391,4;5820561,8;177;5;111,2;30,00;138,7;5;5,16;1033;28;52;127;223;219;228;203;200;142;68;37;22;
DEBE3DNR1Zf08qne;;0,382;7,226;ID_7fce2648-a869-43f5-b660-8ef3c07af9fd;1088990331;LOD2;2100;385813,3;5821040,4;180;0;624,8;30,00;138,7;28;28,92;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DPsDaF57Sl9;1900;0,524;9,807;ID_ae3c0a11-2513-48a9-87c6-131bf353dade;195155185;LOD2;1010;385154,7;5820809,2;270;4;73,4;30,00;138,7;3;3,10;1033;30;54;127;221;220;232;204;202;142;69;37;24;
DEBE3D04YY50000Bwg;1955;0,962;3,573;ID_f04a4c60-c196-4854-9d53-47c068a54ee9;1697511584;LOD2;2460;384862,3;5821029,8;106;2;227,7;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500002zq_02;1900;0,103;28,753;ID_8f9861ba-5cae-40d7-aceb-d1384aed0302;86506190;LOD2;2020;385611,9;5820885,3;180;0;119,9;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002br6;;1,014;4,125;ID_940532e2-889b-445a-bf68-854e55cbd5e0;2006153812;LOD2;1610;384848,5;5820107,8;180;0;58,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DPHn8dgxfpD;;0,565;22,162;ID_01d13a88-d970-4e97-b432-43bedb4bfd2a;1708427419;LOD2;1010;384749,2;5820041,3;13;8;52,3;30,00;138,7;2;2,07;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3DttHjnlm3Sj;1900;0,254;21,676;ID_bad33c68-a6e1-490b-9199-10ecc93873a1;994250968;LOD2;1010;385278,9;5820881,6;0;4;320,1;30,00;138,7;14;14,46;1033;27;48;112;203;210;224;198;189;128;62;31;21;
DEBE3DAWgUOMnuWw;;0,380;15,207;ID_d74990c8-9798-40c3-a84d-8797c10547f1;821900454;LOD2;1010;385480,1;5820064,0;180;0;43,4;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000Mux_01;;0,301;20,715;ID_f1edf743-4ef8-46c7-85e6-332a309c52c6;1736086070;LOD2;1010;384686,0;5820132,2;28;3;126,5;30,00;138,7;5;5,16;1033;26;46;109;201;208;221;196;186;126;60;30;20;
DEBE04YY50000Mux_03;;0,605;9,959;ID_534d6ff7-f60c-4517-917a-ae95eb842652;871544509;LOD2;1010;384683,5;5820113,8;298;7;100,1;30,00;138,7;4;4,13;1033;29;52;122;215;217;230;202;198;138;67;35;23;
DEBE04YY500005s6_02;;0,207;11,415;ID_aef99909-b6b3-40f5-9b4a-a798578b536e;1386338082;LOD2;2142;385792,9;5821517,3;180;0;4792,4;30,00;138,7;215;222,09;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_95140693-aa87-4b12-8aaa-9adf7426eb6d;;0,305;14,895;ID_a78aa514-b994-472f-872e-969c376b8ebf;146272338;LOD2;3034;384334,8;5820142,4;180;0;596,9;30,00;138,7;26;26,86;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500005s6_03;;0,357;9,988;ID_98d96767-d03f-4c1e-a348-921a7dd1b6c5;213652627;LOD2;2142;385837,2;5821529,7;180;0;469,6;30,00;138,7;21;21,69;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500005s6_01;;0,332;10,083;ID_a9615bd1-c79c-4a48-8b9e-1fd129cc1d40;1844365588;LOD2;2142;385667,6;5821482,1;180;0;467,6;30,00;138,7;21;21,69;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DDY6Gn919R2;2013;0,320;26,942;ID_bffe930b-49da-4380-ac8c-492a922a0f49;1923923187;LOD2;2520;385391,8;5820410,9;180;0;224,2;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002d4L;;0,619;6,422;ID_6d81ba96-bf00-4616-8650-9571ffadf741;849684044;LOD2;1610;384586,8;5821475,0;180;0;91,5;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DKIoutbtz33;;0,297;8,158;ID_981c2ee6-45e3-4f4d-9c69-6fbbd6ec1a27;617376472;LOD2;2053;385982,0;5821971,3;180;0;589,2;30,00;138,7;26;26,86;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DJL0nrQWMZP;;0,273;17,885;ID_11f75aac-146c-4b7b-964f-e27b2add4733;965506697;LOD2;1010;385492,6;5820199,6;180;0;212,6;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000DVW_01;1955;0,719;3,492;ID_c36a667b-4ccd-4c3f-9cc1-8317cc5234bf;536610164;LOD2;3021;384851,9;5821035,3;180;0;253,6;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_be8af26a-b71d-46eb-a47a-5c00fbdaec2e;;0,447;9,051;ID_e5870610-f105-444d-898b-7aee713c3827;264753421;LOD2;2571;385372,8;5821325,8;180;0;298,6;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002cNv;;0,994;3,220;ID_e7eb2086-7b43-45d6-8860-38006f90432f;1353070305;LOD2;1610;385469,1;5821481,3;180;0;201,1;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DocPppV1Dqi;;0,538;5,743;ID_d39ad098-3bb9-4861-bf54-dd947b60e8c0;1801585180;LOD2;2020;385941,6;5820388,1;124;10;185,2;30,00;138,7;8;8,26;1033;24;46;117;212;212;220;198;191;133;61;32;18;
DEBE3DwV9ioFial9;;0,507;20,824;ID_3edecd5b-d2d2-4461-b0f8-8716f663a54b;389693977;LOD2;1010;385826,7;5820061,4;187;9;70,4;30,00;138,7;3;3,10;1033;30;54;136;233;224;230;205;206;150;71;40;23;
DEBE3DrlHyG1YJvK;;0,360;23,034;ID_7fe54d26-f691-4242-8ce8-c4d4420ea59b;1013742997;LOD2;1010;384676,2;5820052,9;67;10;102,6;30,00;138,7;4;4,13;1033;23;42;101;191;200;212;191;177;118;56;27;18;
DEBE3DF5Y1N1Vfte;1925;0,238;19,651;ID_40c1616a-2039-4f4e-bcae-687c6f7e47de;682905591;LOD2;3015;384498,2;5821101,3;80;1;53,2;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DF5Y1N1Vfte;1925;0,238;19,651;ID_3c7719f0-8977-4c53-8ab3-9fcf0690c777;1434864559;LOD2;3015;384498,2;5821101,3;260;58;90,8;40,00;136,6;5;5,09;1017;37;64;157;235;212;220;184;208;160;78;51;30;
DEBE3D04YY50002bng;1905;1,097;3,220;ID_bfb33819-f1c6-4675-8fa1-b53c0b50d3c7;115273562;LOD2;1610;384554,4;5820878,1;20;2;89,0;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DYWg8mfHFLC;1925;0,462;8,049;ID_47e2e7e5-3018-48ca-bfa6-e9cec8b20016;467120774;LOD2;2100;385551,4;5820647,4;180;0;235,8;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dad3V1DowBL;2013;0,343;9,734;ID_dd9c2b8e-7945-48c7-b1e4-2934a75c9dfc;1599581645;LOD2;2520;385335,5;5820522,2;266;11;311,1;40,00;134,3;18;18,00;1000;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3Dad3V1DowBL;2013;0,343;9,734;ID_dd1017a1-e8a8-4f0c-9ddc-f4c2679dc131;675429282;LOD2;2520;385335,5;5820522,2;86;10;333,2;30,00;138,7;14;14,46;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3DAOTlZZBzpl;;0,173;16,043;ID_dbf72584-4d9f-43f3-9714-fda944f5d80d;852569561;LOD2;1010;384366,0;5821941,9;180;0;237,4;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY5000026V_01;1900;0,637;6,353;ID_9ec4ef4f-158f-4994-aaaa-7fd596cfa5e5;537981882;LOD2;1010;385154,0;5820821,4;270;8;79,4;30,00;138,7;3;3,10;1033;32;56;132;226;223;235;205;206;146;71;39;25;
DEBE3D04YY5000037N;;0,407;21,417;ID_d3049fda-5823-4182-a56e-3431f7b8fd57;718791601;LOD2;1010;384833,3;5820928,5;180;0;194,9;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002d0j;2013;1,582;2,173;ID_544af63b-4eb7-4cf8-a3ed-50306e8fceee;136856572;LOD2;1610;385486,2;5820516,4;174;2;93,6;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500001tj;1955;0,354;20,211;ID_eeb53293-2997-4373-9d42-79b9a1dbe0ae;2091815239;LOD2;1010;384724,4;5820976,5;180;0;163,9;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002d0o;;7,360;0,286;ID_9ebdedbd-dba3-4353-88c5-1f62a5a4d325;1571901396;LOD2;1610;385055,5;5821055,2;180;0;66,4;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002d0q;2013;0,449;9,043;ID_52b3c399-2a81-4545-8c22-ef7a7e2d8ae3;1711973125;LOD2;1610;385163,3;5820394,3;180;0;414,5;30,00;138,7;18;18,59;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DmPk9wv9vsz;;0,586;4,726;ID_8412915f-bd34-4f26-bd2e-9a45b3b5cf42;457665529;LOD2;3021;385826,2;5820729,6;180;26;95,0;40,00;138,7;5;5,16;1033;31;57;151;248;225;226;203;212;163;76;46;23;
DEBE3DNeRMejnUoX;;0,320;8,747;ID_d1b54ca7-967d-498d-8f86-6a43cfcf8f23;1071489033;LOD2;2111;385810,4;5821100,6;19;3;100,7;30,00;138,7;4;4,13;1033;26;47;110;201;209;222;197;187;127;61;31;20;
DEBE3Dq3nXmvxwfN;;0,283;20,085;ID_12d3912b-66cc-4e52-8de6-a4bf26d1e360;811254458;LOD2;1010;385812,3;5821284,5;265;10;167,0;30,00;138,7;7;7,23;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3DbcZoa9AlFT;1905;0,438;19,070;ID_f65c1ada-6457-40b5-97b6-061dbe7839b0;1585591893;LOD2;3060;384540,2;5820864,9;180;0;43,4;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000M82;1955;1,037;3,222;ID_303b8496-b5ac-4d4a-8adf-180dd262b157;130747785;LOD2;2460;384877,8;5821030,3;286;4;177,3;30,00;138,7;7;7,23;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE01YYK0002QjP_01;;0,411;6,427;ID_78a89704-627e-4322-a5e6-7ae6cf150455;1550675041;LOD2;2100;385780,3;5820987,5;180;0;677,3;30,00;138,7;30;30,99;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000M7H;;1,285;2,386;ID_ffdc5ee2-fa24-4cce-8d69-3116d8d086b2;1408305409;LOD2;2000;384915,1;5821999,5;180;0;168,7;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dsh2Kv6Yq6Q;1955;0,273;24,468;ID_9179fa0e-ea7d-41a6-beed-744deb9bd73e;1629610483;LOD2;3021;384831,9;5821220,7;106;10;172,6;30,00;138,7;7;7,23;1033;23;44;111;204;208;216;195;185;127;59;30;17;
DEBE3D04YY50000M6k;1925;0,696;3,903;ID_5711b3dd-aaa9-434a-ac6d-c81e4fe8ac5a;203196649;LOD2;2111;385474,1;5820637,6;180;0;726,3;30,00;138,7;32;33,06;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dc9i12AitVE;1905;0,257;23,331;ID_c692b07b-d490-4c36-895d-0490f2961d5a;647547243;LOD2;1010;384796,4;5820644,6;309;10;238,1;30,00;138,7;10;10,33;1033;28;51;119;210;215;230;201;196;134;65;33;22;
DEBE3DNEuFuZ5XGA;;0,238;16,479;ID_323564cf-b7ab-4042-9d8f-8fc9a3c5b04b;1790361452;LOD2;1010;384543,3;5821926,3;180;0;72,6;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DLTr98Flk0S;1925;0,406;20,633;ID_d5e6439c-f394-4441-9ad2-88b881ca8fef;1567808944;LOD2;1010;385437,8;5820638,1;182;39;80,6;40,00;138,5;4;4,12;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3D04YY500002dK;1905;0,808;4,602;ID_6017bb9c-5753-4fcc-82a7-4f0c76c9b58f;642666752;LOD2;2143;385633,2;5820682,2;92;4;88,3;30,00;138,7;3;3,10;1033;25;46;113;206;210;220;197;188;129;61;31;19;
DEBE3DIkqruzMZto;1905;0,338;22,167;ID_19edbc0d-096b-42b8-82e8-6ae0296742df;1007263013;LOD2;1010;384646,9;5820534,6;234;12;158,6;40,00;137,2;9;9,19;1021;33;58;139;235;227;236;207;211;153;74;43;26;
DEBE04YY50000QML_01;1900;0,674;5,218;ID_b7ced57c-be74-46f8-a335-a5e57a1348d2;1104972873;LOD2;2120;385369,9;5820910,4;180;0;64,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DR1uiuTblVS;;0,439;21,972;ID_3e20500d-18a5-4715-84a8-4950a8fd790a;2051552935;LOD2;1010;384852,2;5820349,4;180;0;40,0;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DdWYtVivSPr;;0,618;5,427;ID_2c60edc1-8748-4695-b370-ca9a9d95c607;1097397501;LOD2;2411;384395,8;5821819,0;180;0;69,3;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Did7bjJqUm5;1925;1,066;2,228;ID_3cc8a728-ed31-4374-aa44-57e9194b1857;1240251104;LOD2;2462;384530,1;5821085,7;180;0;511,4;30,00;138,7;23;23,76;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DNVxSIQeY4E;1905;0,338;21,959;ID_02e0bc29-b3e8-4178-a1ac-6cd2743a02df;1988755019;LOD2;1010;384725,9;5820689,0;286;10;194,7;30,00;138,7;8;8,26;1033;30;54;128;220;220;234;204;203;142;69;37;24;
DEBE3DASB1tKO4Ix;1905;0,631;20,787;ID_ed138ff6-3e02-43b0-8f4c-b5020f35e709;1387758733;LOD2;1010;384547,9;5820596,1;235;8;54,1;30,00;138,7;2;2,07;1033;33;58;139;235;227;236;207;211;153;74;43;26;
DEBE3DVKnQmcFzHN;;0,316;9,467;ID_d8235742-b993-43e5-9691-1fc309aa1628;165122857;LOD2;3034;384481,3;5820108,8;180;0;969,1;30,00;138,7;43;44,42;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DWCni5zIq0v;1905;0,300;22,414;ID_2be2c570-b1b5-4f4b-a3d5-56f3f3b4ee02;748288294;LOD2;1010;385597,7;5820588,1;3;10;138,1;30,00;138,7;6;6,20;1033;25;45;102;190;203;219;193;181;119;58;28;19;
DEBE3DWCni5zIq0v;1905;0,300;22,414;ID_2b130bda-93ce-42a3-b61c-1e2e4d21a5d0;1930079625;LOD2;1010;385597,7;5820588,1;183;36;58,2;40,00;141,4;3;3,16;1053;33;61;161;255;222;221;198;214;171;81;52;24;
DEBE3DSO4s1j2SUD;2013;1,148;3,334;ID_a96a00c1-fb16-4fde-bc36-dca2741d8cd1;1829477378;LOD2;2200;385420,5;5820559,9;180;0;51,4;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DIQmYzrbefb;1985;0,211;20,703;ID_8d7816c5-e161-4ecc-a611-2768af9c0a4a;387856623;LOD2;1010;385105,7;5820725,3;182;38;139,2;40,00;138,5;8;8,25;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3DIQmYzrbefb;1985;0,211;20,703;ID_cec44e78-b886-4975-8421-c241b30444e1;879477057;LOD2;1010;385105,7;5820725,3;272;39;51,6;40,00;137,6;3;3,07;1025;34;61;148;234;221;236;197;213;156;76;45;27;
UUID_d40a7c72-c7a9-48bc-92f9-f0b5a44ffd2f;;0,357;23,092;ID_3ccff522-36f1-4a3e-963f-a714012db603;821545514;LOD2;1120;385725,2;5820093,2;180;0;407,9;30,00;138,7;18;18,59;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_d40a7c72-c7a9-48bc-92f9-f0b5a44ffd2f;;0,357;23,092;ID_69f8f4cb-ab70-43e2-a096-747bd5a1221f;1574804225;LOD2;1120;385725,2;5820093,2;183;12;54,5;40,00;133,8;3;2,99;996;30;54;136;233;224;230;205;206;150;71;40;23;
UUID_2864d28e-4de4-42e9-98c1-91f256903f42;;0,438;21,595;ID_096161eb-ed63-4f25-8a44-c532762a1371;259681837;LOD2;1010;384725,8;5820256,4;183;44;64,5;40,00;139,2;3;3,11;1036;33;61;165;253;214;210;189;209;173;82;54;24;
UUID_2864d28e-4de4-42e9-98c1-91f256903f42;;0,438;21,595;ID_cee86267-f6fe-4c54-afbf-092e4ea07ac4;1970150417;LOD2;1010;384725,8;5820256,4;183;1;136,1;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DLHAJGKT4PS;;1,430;16,648;ID_e0556601-d98b-4675-95bd-a9cbbc924c06;493911522;LOD2;1010;384787,7;5821906,3;180;0;91,7;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_ad7e574c-bea0-4abb-b471-0bde4b68c442;;0,481;4,608;ID_a9e839c1-37bf-49ec-9b5e-cc8a5341374b;348146794;LOD2;2111;385756,7;5821425,4;180;0;1060,3;30,00;138,7;47;48,55;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DlJfsb0ptDv;1955;0,269;10,895;ID_67d257fd-2f60-4246-89a3-8e6ba264af3f;238925576;LOD2;2054;385280,1;5820618,7;180;0;1144,6;30,00;138,7;51;52,68;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DmSZU42UEYH;;0,406;19,837;ID_77548e35-653f-4100-badf-7c63ef2e9b17;1830366980;LOD2;1010;384740,6;5820219,1;204;41;45,9;40,00;148,2;2;2,21;1103;39;70;175;264;225;223;197;221;182;90;59;30;
DEBE3DksLMqvFR56;1905;0,358;21,063;ID_e1dd32a2-f1fa-40b3-9a3d-f29bc6aea80c;2110421848;LOD2;1010;384747,7;5820642,1;106;10;176,5;30,00;138,7;7;7,23;1033;23;44;111;204;208;216;195;185;127;59;30;17;
DEBE3Dd56DRtlHpZ;;0,283;21,773;ID_b69017b9-daf4-4922-9b1f-bc8bc61c4c28;360848272;LOD2;1010;384657,5;5820341,9;122;3;83,9;30,00;138,7;3;3,10;1033;26;48;118;212;213;223;199;192;134;63;33;20;
DEBE3D04YY50000DDl;;1,253;2,613;ID_a2c33f1c-6819-4393-8007-b488fbc2ab23;307268249;LOD2;2460;385544,3;5820084,5;180;0;74,5;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DXBdjuAG9Gu;1905;0,228;21,054;ID_922c4558-fd3c-4b87-9820-72b83a56e04f;2006913983;LOD2;1010;384793,9;5820663,9;218;30;67,8;40,00;149,5;4;4,45;1113;40;69;169;262;233;235;206;225;177;87;57;31;
DEBE04YY50000RPu_01;1925;0,361;20,220;ID_cd03d346-0f6b-44e2-80e8-7bde1501c32d;98714816;LOD2;1010;384505,5;5821208,4;288;1;57,8;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_a3a552dc-0747-41e2-8555-2f73e983a9cd;;0,322;17,553;ID_90c66537-17d1-4487-a8db-a3fb6d9e4df1;194310862;LOD2;3040;385357,7;5820028,9;188;40;106,8;40,00;142,9;6;6,39;1064;35;64;168;258;220;218;194;214;176;84;55;26;
DEBE3DK67qUl9GLR;1900;0,319;21,955;ID_2bb82b34-f3a7-49fb-9c44-f893c19c6f4b;1695895560;LOD2;1010;385171,1;5820836,2;180;37;185,5;40,00;139,3;11;11,41;1037;31;59;157;251;221;220;198;212;168;78;50;23;
DEBE3DEApeIBQnNo;;0,327;16,780;ID_73b72086-096d-4e81-b78e-db34284d95a3;527659717;LOD2;1010;385554,5;5820037,4;180;0;253,3;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DyvbLV7M5LD;1905;0,301;21,769;ID_105d804a-fd3e-478a-8198-1f97ce3b5963;2107842602;LOD2;1010;384748,5;5820875,6;195;11;150,1;40,00;135,3;9;9,07;1008;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE3DyvbLV7M5LD;1905;0,301;21,769;ID_e69425e8-b12e-45d3-b13d-6c09dd011626;1519395044;LOD2;1010;384748,5;5820875,6;15;10;92,1;30,00;138,7;4;4,13;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3DQiSs5azfDD;;0,233;16,655;ID_673da140-ba33-4de6-9907-32975bd2e267;1005090956;LOD2;1010;384597,0;5821978,0;180;0;249,2;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002P8P;;0,368;18,576;ID_4ceae60b-eaeb-4bfb-9616-b1c9808a527d;477048652;LOD2;1010;385888,5;5821194,5;180;0;226,6;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DIHn8l6iorD;1905;0,445;20,349;ID_4b7c3bb1-ff82-4201-8054-b7988f6fd219;1427168905;LOD2;1010;384854,8;5820829,3;105;7;82,3;30,00;138,7;3;3,10;1033;25;47;115;209;211;221;198;190;132;62;32;20;
DEBE04YY500006zT_04;1905;0,267;14,936;ID_47a8a8d2-b79b-4b13-9829-198abd5ea13c;375561454;LOD2;3021;384984,2;5820720,8;180;0;373,2;30,00;138,7;16;16,53;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrnJ9TL3oQo;1900;0,383;27,073;ID_a6f11c30-aa06-42da-a31c-bfab9b4a6b85;255591338;LOD2;2020;385628,6;5820872,8;180;0;53,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500004D7_003;2013;0,860;20,340;ID_7c39465c-670d-40ee-94ee-8fb17538f673;1040714416;LOD2;2020;385626,1;5820545,0;180;0;41,8;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DiYrD6WxxGa;2013;0,356;6,225;ID_1f36c3ae-6a17-4c9b-ad68-92c7922f92a9;1984792578;LOD2;2000;385596,6;5820406,1;86;10;255,1;30,00;138,7;11;11,36;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3DiYrD6WxxGa;2013;0,356;6,225;ID_a45c75bf-4f67-4c1a-8635-a9b30085a789;1161620484;LOD2;2000;385596,6;5820406,1;266;10;194,2;30,00;138,7;8;8,26;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3D04YY50000Cax;1905;0,524;5,607;ID_e69b8b67-1e0a-478b-a7a5-64a8e0fcb9fd;456101854;LOD2;2143;385632,8;5820637,9;180;0;464,0;30,00;138,7;20;20,66;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002cZf;;1,464;4,810;ID_4cece460-3c5b-4522-89e5-1a3e7f0cb45a;1137989146;LOD2;1610;385269,1;5821455,2;347;10;74,4;30,00;138,7;3;3,10;1033;25;47;107;196;207;223;195;186;124;60;29;20;
DEBE3DCJvGzbZnNw;1900;0,327;19,984;ID_a1eef4ef-4bcb-473d-8a39-a13fa6cf9f87;1516743036;LOD2;1010;385317,9;5820798,3;272;44;92,8;40,00;136,6;5;5,09;1017;34;61;149;232;219;232;194;211;155;76;46;27;
DEBE3DCJvGzbZnNw;1900;0,327;19,984;ID_c852aa38-0333-4fab-a6dd-811a04a9a8a8;1237913238;LOD2;1010;385317,9;5820798,3;272;4;148,1;30,00;138,7;6;6,20;1033;30;54;127;221;220;232;204;202;142;69;37;24;
DEBE3D01YYK0002OVm;;0,509;8,800;ID_b15d10bb-8c58-45c6-8671-e4b1899cd401;648472361;LOD2;2520;385682,6;5821712,7;180;0;329,0;30,00;138,7;14;14,46;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dtj0z7Ew4HT;;0,428;16,437;ID_34be46fa-5a90-4d70-b161-ae9d37e06a8d;1557031489;LOD2;1010;384767,6;5822023,2;180;0;102,1;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
